cover_id,original_id,lcs_similarity,levenshtein_similarity,pitch_hist_similarity,dtw_distance,is_correct
1,1,0.760331,0.666667,0.746419,42.58912444782053,1
1,2,0.764179,0.618357,0.637154,,0
1,3,0.647368,0.594203,0.813231,,0
1,4,0.868633,0.782609,0.852928,,0
1,5,0.729885,0.613527,0.854847,,0
1,6,0.868421,0.792271,0.743872,,0
1,7,0.670659,0.541063,0.586303,,0
1,8,0.927059,0.899083,0.807411,,0
1,9,0.875306,0.840580,0.822558,,0
1,10,0.960784,0.922705,0.649047,,0
1,11,0.908163,0.855072,0.885269,,0
1,12,0.678899,0.536232,0.526589,,0
1,13,0.701299,0.652174,0.660227,,0
1,14,0.826816,0.714976,0.787194,,0
1,15,0.793103,0.666667,0.566688,,0
1,16,0.838196,0.763285,0.569179,,0
1,17,0.939467,0.908213,0.815308,,0
1,18,0.842640,0.797101,0.475825,,0
1,19,0.869757,0.800813,0.508358,,0
1,20,0.901266,0.855072,0.569384,,0
1,21,0.911458,0.845411,0.842329,,0
1,22,0.929095,0.898551,0.728223,,0
1,23,0.736264,0.647343,0.411085,,0
1,24,0.808864,0.705314,0.724903,,0
1,25,0.869565,0.772947,0.622272,,0
1,26,0.922717,0.890909,0.705366,,0
1,27,0.950980,0.913043,0.842164,,0
1,28,0.840731,0.777778,0.724326,,0
1,29,0.877729,0.796813,0.776372,,0
1,30,0.911628,0.878924,0.625199,,0
1,31,0.904884,0.850242,0.483032,,0
1,32,0.708934,0.594203,0.845598,,0
1,33,0.890052,0.821256,0.621551,,0
1,34,0.942857,0.910798,0.418011,,0
1,35,0.917526,0.859903,0.458179,,0
1,36,0.916279,0.878924,0.835262,,0
1,37,0.880208,0.816425,0.555340,,0
1,38,0.793478,0.695652,0.873564,,0
1,39,0.825871,0.801932,0.606039,,0
1,40,0.788406,0.657005,0.762035,,0
1,41,0.875648,0.816425,0.711616,,0
1,42,0.907834,0.863436,0.705285,,0
1,43,0.873016,0.797101,0.590655,,0
1,44,0.916667,0.880000,0.580027,,0
1,45,0.958231,0.942029,0.819731,,0
1,46,0.879357,0.792271,0.596629,,0
1,47,0.919192,0.879227,0.556048,,0
1,48,0.899497,0.855072,0.823564,,0
1,49,0.768392,0.676329,0.657879,,0
1,50,0.932401,0.900901,0.583874,,0
1,51,0.951456,0.922705,0.870033,,0
1,52,0.800000,0.676329,0.469736,,0
1,53,0.890625,0.826087,0.700358,,0
1,54,0.800000,0.729469,0.604996,,0
1,55,0.817927,0.705314,0.852122,,0
1,56,0.886010,0.821256,0.623812,,0
1,57,0.941463,0.908213,0.617045,,0
1,58,0.850829,0.743961,0.294246,,0
1,59,0.812325,0.700483,0.762579,,0
1,60,0.845528,0.753623,0.956741,,0
1,61,0.682540,0.613527,0.681726,,0
1,62,0.955882,0.917874,0.418820,,0
1,63,0.941463,0.917874,0.366725,,0
1,64,0.915842,0.888889,0.808676,,0
1,65,0.795812,0.724638,0.723251,,0
1,66,0.909561,0.850242,0.439316,,0
1,67,0.909091,0.869565,0.363672,,0
1,68,0.950000,0.917874,0.871805,,0
1,69,0.922693,0.888889,0.947398,,0
1,70,0.909561,0.845411,0.945977,,0
1,71,0.860158,0.782609,0.486987,,0
1,72,0.827397,0.729469,0.878277,,0
1,73,0.681948,0.570048,0.777530,,0
1,74,0.942308,0.904306,0.913435,,0
1,75,0.907268,0.859903,0.325503,,0
1,76,0.791908,0.661836,0.878214,,0
1,77,0.797721,0.676329,0.415878,,0
1,78,0.943765,0.917874,0.884349,,0
1,79,0.897243,0.855072,0.812952,,0
1,80,0.870229,0.826087,0.612043,,0
2,1,0.809117,0.728205,0.452077,,0
2,2,0.792570,0.656410,0.283818,46.17147152249207,1
2,3,0.744565,0.666667,0.541636,,0
2,4,0.903047,0.835897,0.551064,,0
2,5,0.785714,0.676923,0.516088,,0
2,6,0.896739,0.820513,0.345151,,0
2,7,0.739130,0.610256,0.457799,,0
2,8,0.813559,0.770642,0.662809,,0
2,9,0.861461,0.816832,0.669365,,0
2,10,0.823232,0.805970,0.600570,,0
2,11,0.884211,0.835897,0.584970,,0
2,12,0.736508,0.594872,0.534864,,0
2,13,0.804290,0.733333,0.268677,,0
2,14,0.861272,0.764103,0.625426,,0
2,15,0.833333,0.717949,0.885098,,0
2,16,0.898630,0.830769,0.350654,,0
2,17,0.837905,0.800971,0.372480,,0
2,18,0.879581,0.800000,0.472267,,0
2,19,0.752834,0.674797,0.326715,,0
2,20,0.882507,0.825641,0.791432,,0
2,21,0.881720,0.830769,0.378582,,0
2,22,0.841310,0.792079,0.309206,,0
2,23,0.835227,0.738462,0.615836,,0
